contigid	V1	V2	cluster	ps	phylum	class	order	family	genus
OAPGCV016966	OAPGCV067128_82	OAPGCV016966_51	PC_391288	PC_391288	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV016967	OAPGCV042807_22	OAPGCV016967_1	PC_273408	PC_273408	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV016968	OAPGCV000576_44	OAPGCV016968_24	PC_11125	PC_11125	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Gemellaceae	g__Gemella
OAPGCV016969	OAPGCV000408_25	OAPGCV016969_4	PC_8156	PC_8156	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
OAPGCV016969	OAPGCV023463_3	OAPGCV016969_19	PC_150153	PC_150153	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
OAPGCV016969	OAPGCV044684_52	OAPGCV016969_28	PC_278954	PC_278954	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
OAPGCV016970	OAPGCV009024_7	OAPGCV016970_1	PC_88640	PC_88640	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella
OAPGCV016971	OAPGCV053691_6	OAPGCV016971_4	PC_321902	PC_321902	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV016971	OAPGCV063097_2	OAPGCV016971_7	PC_373996	PC_373996	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV016972	OAPGCV032370_63	OAPGCV016972_50	PC_193290	PC_193290	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV016973	OAPGCV000462_26	OAPGCV016973_45	PC_9074	PC_9074	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV016973	OAPGCV020077_5	OAPGCV016973_1	PC_137998	PC_137998	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV016973	OAPGCV004777_26	OAPGCV016973_47	PC_61655	PC_61655	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV016974	OAPGCV031683_66	OAPGCV016974_12	PC_186865	PC_186865	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Granulicatella
OAPGCV016974	OAPGCV002257_59	OAPGCV016974_72	PC_35941	PC_35941	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Granulicatella
OAPGCV016974	OAPGCV002257_60	OAPGCV016974_73	PC_35942	PC_35942	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Granulicatella
OAPGCV016975	OAPGCV008754_3	OAPGCV016975_45	PC_87187	PC_87187	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia
OAPGCV016977	OAPGCV035090_14	OAPGCV016977_45	PC_204338	PC_204338	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016978	OAPGCV022175_28	OAPGCV016978_8	PC_145936	PC_145936	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV016980	OAPGCV003856_4	OAPGCV016980_47	PC_52158	PC_52158	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV016980	OAPGCV028243_20	OAPGCV016980_52	PC_166941	PC_166941	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV016981	OAPGCV007765_10	OAPGCV016981_39	PC_81860	PC_81860	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV016983	OAPGCV001255_10	OAPGCV016983_11	PC_23338	PC_23338	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV016984	OAPGCV004129_9	OAPGCV016984_106	PC_55596	PC_55596	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV016986	OAPGCV004660_22	OAPGCV016986_27	PC_60909	PC_60909	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV016988	OAPGCV061638_2	OAPGCV016988_50	PC_365043	PC_365043	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia
OAPGCV016990	OAPGCV008014_2	OAPGCV016990_58	PC_83235	PC_83235	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Gemellaceae	g__Gemella
OAPGCV016990	OAPGCV001048_38	OAPGCV016990_49	PC_20489	PC_20489	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Gemellaceae	g__Gemella
OAPGCV016991	OAPGCV063097_2	OAPGCV016991_70	PC_373996	PC_373996	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV016992	OAPGCV000755_6	OAPGCV016992_73	PC_14765	PC_14765	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium
OAPGCV016993	OAPGCV006163_43	OAPGCV016993_23	PC_70889	PC_70889	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016993	OAPGCV001336_23	OAPGCV016993_18	PC_24770	PC_24770	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016994	OAPGCV006694_15	OAPGCV016994_25	PC_74764	PC_74764	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV016995	OAPGCV007600_58	OAPGCV016995_35	PC_80744	PC_80744	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016995	OAPGCV007600_58	OAPGCV016995_35	PC_80744	PC_80744	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016995	OAPGCV007600_58	OAPGCV016995_35	PC_80744	PC_80744	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV016995	OAPGCV007600_58	OAPGCV016995_35	PC_80744	PC_80744	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
OAPGCV016995	OAPGCV061112_37	OAPGCV016995_30	PC_361346	PC_361346	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016995	OAPGCV061112_37	OAPGCV016995_30	PC_361346	PC_361346	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016995	OAPGCV061112_37	OAPGCV016995_30	PC_361346	PC_361346	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV016995	OAPGCV061112_37	OAPGCV016995_30	PC_361346	PC_361346	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
OAPGCV016996	OAPGCV011781_26	OAPGCV016996_16	PC_103455	PC_103455	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV016997	OAPGCV047177_4	OAPGCV016997_67	PC_293712	PC_293712	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV016998	OAPGCV059086_13	OAPGCV016998_36	PC_353800	PC_353800	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016998	OAPGCV059086_13	OAPGCV016998_36	PC_353800	PC_353800	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016998	OAPGCV009406_44	OAPGCV016998_30	PC_90904	PC_90904	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016998	OAPGCV009406_44	OAPGCV016998_30	PC_90904	PC_90904	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV016999	OAPGCV049366_39	OAPGCV016999_3	PC_307353	PC_307353	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
OAPGCV016999	OAPGCV005167_28	OAPGCV016999_8	PC_64402	PC_64402	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
OAPGCV017000	OAPGCV011638_47	OAPGCV017000_3	PC_102884	PC_102884	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus
OAPGCV017000	OAPGCV008406_18	OAPGCV017000_7	PC_85137	PC_85137	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus
OAPGCV017001	OAPGCV003785_42	OAPGCV017001_19	PC_51382	PC_51382	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia
OAPGCV017001	OAPGCV024536_52	OAPGCV017001_8	PC_153587	PC_153587	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia
OAPGCV017002	OAPGCV020982_58	OAPGCV017002_28	PC_141679	PC_141679	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017002	OAPGCV020982_58	OAPGCV017002_28	PC_141679	PC_141679	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017002	OAPGCV048360_31	OAPGCV017002_7	PC_300696	PC_300696	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017002	OAPGCV048360_31	OAPGCV017002_7	PC_300696	PC_300696	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017002	OAPGCV048613_23	OAPGCV017002_3	PC_302003	PC_302003	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017002	OAPGCV048613_23	OAPGCV017002_3	PC_302003	PC_302003	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017002	OAPGCV056366_36	OAPGCV017002_4	PC_332330	PC_332330	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017002	OAPGCV056366_36	OAPGCV017002_4	PC_332330	PC_332330	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017003	OAPGCV023463_3	OAPGCV017003_6	PC_150153	PC_150153	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
OAPGCV017003	OAPGCV000408_25	OAPGCV017003_21	PC_8156	PC_8156	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
OAPGCV017004	OAPGCV004082_47	OAPGCV017004_15	PC_54772	PC_54772	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017005	OAPGCV005471_18	OAPGCV017005_18	PC_66256	PC_66256	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV017006	OAPGCV002775_83	OAPGCV017006_64	PC_42497	PC_42497	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV017006	OAPGCV000116_9	OAPGCV017006_62	PC_2753	PC_2753	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV017007	OAPGCV035090_14	OAPGCV017007_7	PC_204338	PC_204338	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017008	OAPGCV015688_5	OAPGCV017008_36	PC_121527	PC_121527	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Moryella
OAPGCV017008	OAPGCV015688_5	OAPGCV017008_36	PC_121527	PC_121527	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Stomatobaculum
OAPGCV017009	OAPGCV000463_167	OAPGCV017009_8	PC_9137	PC_9137	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017010	OAPGCV059207_17	OAPGCV017010_5	PC_354037	PC_354037	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017011	OAPGCV001937_28	OAPGCV017011_20	PC_32182	PC_32182	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017011	OAPGCV001811_35	OAPGCV017011_28	PC_29777	PC_29777	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017011	OAPGCV059207_17	OAPGCV017011_13	PC_354037	PC_354037	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017012	OAPGCV001928_1	OAPGCV017012_1	PC_32058	PC_32058	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017012	OAPGCV001948_7	OAPGCV017012_7	PC_32297	PC_32297	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017012	OAPGCV013416_31	OAPGCV017012_27	PC_111294	PC_111294	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017013	OAPGCV059284_39	OAPGCV017013_41	PC_354138	PC_354138	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017014	OAPGCV003902_54	OAPGCV017014_19	PC_52603	PC_52603	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV017014	OAPGCV012500_25	OAPGCV017014_13	PC_107100	PC_107100	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV017014	OAPGCV003902_55	OAPGCV017014_18	PC_52604	PC_52604	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV017015	OAPGCV000237_8	OAPGCV017015_37	PC_5212	PC_5212	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV017015	OAPGCV002125_7	OAPGCV017015_42	PC_34391	PC_34391	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV017016	OAPGCV027980_14	OAPGCV017016_130	PC_166341	PC_166341	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017016	OAPGCV027980_182	OAPGCV017016_80	PC_166343	PC_166343	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017017	OAPGCV011879_45	OAPGCV017017_47	PC_103850	PC_103850	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV017017	OAPGCV000287_41	OAPGCV017017_42	PC_6301	PC_6301	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV017018	OAPGCV022297_7	OAPGCV017018_6	PC_146314	PC_146314	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017018	OAPGCV023475_17	OAPGCV017018_10	PC_150173	PC_150173	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017019	OAPGCV014069_15	OAPGCV017019_35	PC_114693	PC_114693	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV017019	OAPGCV000065_59	OAPGCV017019_4	PC_1463	PC_1463	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV017021	OAPGCV024842_35	OAPGCV017021_34	PC_154448	PC_154448	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017021	OAPGCV019068_15	OAPGCV017021_38	PC_134680	PC_134680	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017023	OAPGCV033358_19	OAPGCV017023_15	PC_198506	PC_198506	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017024	OAPGCV040241_256	OAPGCV017024_16	PC_254729	PC_254729	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017026	OAPGCV036848_45	OAPGCV017026_25	PC_213110	PC_213110	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017027	OAPGCV057244_52	OAPGCV017027_45	PC_335600	PC_335600	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017030	OAPGCV003856_4	OAPGCV017030_2	PC_52158	PC_52158	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017030	OAPGCV028243_20	OAPGCV017030_7	PC_166941	PC_166941	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017031	OAPGCV047284_55	OAPGCV017031_40	PC_294282	PC_294282	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Mogibacterium
OAPGCV017032	OAPGCV001926_49	OAPGCV017032_4	PC_32036	PC_32036	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017032	OAPGCV053721_21	OAPGCV017032_9	PC_321964	PC_321964	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017035	OAPGCV063097_2	OAPGCV017035_22	PC_373996	PC_373996	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella
OAPGCV017036	OAPGCV042885_3	OAPGCV017036_53	PC_273703	PC_273703	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017036	OAPGCV006371_9	OAPGCV017036_48	PC_72705	PC_72705	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017036	OAPGCV011908_11	OAPGCV017036_46	PC_103918	PC_103918	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017038	OAPGCV005748_44	OAPGCV017038_162	PC_68153	PC_68153	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella
OAPGCV017038	OAPGCV002497_153	OAPGCV017038_76	PC_39263	PC_39263	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella
OAPGCV017039	OAPGCV000462_26	OAPGCV017039_12	PC_9074	PC_9074	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV017039	OAPGCV001512_30	OAPGCV017039_10	PC_26026	PC_26026	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV017040	OAPGCV005579_35	OAPGCV017040_7	PC_66986	PC_66986	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017040	OAPGCV005579_35	OAPGCV017040_7	PC_66986	PC_66986	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017040	OAPGCV035017_16	OAPGCV017040_48	PC_204126	PC_204126	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017040	OAPGCV035017_16	OAPGCV017040_48	PC_204126	PC_204126	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017040	OAPGCV035017_16	OAPGCV017040_1	PC_204126	PC_204126	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017040	OAPGCV035017_16	OAPGCV017040_1	PC_204126	PC_204126	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017041	OAPGCV000480_21	OAPGCV017041_18	PC_9551	PC_9551	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017041	OAPGCV028701_3	OAPGCV017041_4	PC_168596	PC_168596	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017042	OAPGCV030211_64	OAPGCV017042_44	PC_177970	PC_177970	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017042	OAPGCV028243_20	OAPGCV017042_51	PC_166941	PC_166941	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017043	OAPGCV012789_6	OAPGCV017043_6	PC_108611	PC_108611	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017043	OAPGCV030211_64	OAPGCV017043_1	PC_177970	PC_177970	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017043	OAPGCV011908_11	OAPGCV017043_8	PC_103918	PC_103918	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017044	OAPGCV053055_43	OAPGCV017044_5	PC_320082	PC_320082	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Centipeda
OAPGCV017044	OAPGCV002452_5	OAPGCV017044_28	PC_38668	PC_38668	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Centipeda
OAPGCV017044	OAPGCV053055_43	OAPGCV017044_53	PC_320082	PC_320082	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Centipeda
OAPGCV017044	OAPGCV002452_33	OAPGCV017044_1	PC_38653	PC_38653	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Centipeda
OAPGCV017044	OAPGCV030683_42	OAPGCV017044_13	PC_180760	PC_180760	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Centipeda
OAPGCV017045	OAPGCV030211_64	OAPGCV017045_37	PC_177970	PC_177970	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017045	OAPGCV047468_59	OAPGCV017045_42	PC_295765	PC_295765	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017046	OAPGCV004743_13	OAPGCV017046_10	PC_61384	PC_61384	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia
OAPGCV017046	OAPGCV000394_39	OAPGCV017046_19	PC_7926	PC_7926	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia
OAPGCV017047	OAPGCV007065_2	OAPGCV017047_54	PC_77080	PC_77080	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017048	OAPGCV025464_30	OAPGCV017048_12	PC_156593	PC_156593	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017048	OAPGCV022175_28	OAPGCV017048_10	PC_145936	PC_145936	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017048	OAPGCV003167_32	OAPGCV017048_3	PC_45586	PC_45586	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017048	OAPGCV005989_46	OAPGCV017048_5	PC_69717	PC_69717	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV017049	OAPGCV034217_50	OAPGCV017049_16	PC_201423	PC_201423	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017049	OAPGCV034495_54	OAPGCV017049_12	PC_202232	PC_202232	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017050	OAPGCV053190_26	OAPGCV017050_21	PC_320512	PC_320512	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017050	OAPGCV053190_26	OAPGCV017050_21	PC_320512	PC_320512	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017051	OAPGCV001701_53	OAPGCV017051_36	PC_28094	PC_28094	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017051	OAPGCV000626_42	OAPGCV017051_30	PC_11947	PC_11947	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017052	OAPGCV000137_51	OAPGCV017052_49	PC_3153	PC_3153	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV017052	OAPGCV000137_49	OAPGCV017052_47	PC_3152	PC_3152	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV017052	OAPGCV017052_48	OAPGCV017052_48	PC_126732	PC_126732	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV017052	OAPGCV000033_67	OAPGCV017052_61	PC_820	PC_820	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV017054	OAPGCV005232_18	OAPGCV017054_6	PC_64796	PC_64796	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV017055	OAPGCV035090_14	OAPGCV017055_44	PC_204338	PC_204338	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV017056	OAPGCV000212_30	OAPGCV017056_44	PC_4716	PC_4716	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia
OAPGCV017056	OAPGCV000212_30	OAPGCV017056_44	PC_4716	PC_4716	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__JABCPH02
OAPGCV017056	OAPGCV045002_5	OAPGCV017056_75	PC_281531	PC_281531	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia
OAPGCV017056	OAPGCV045002_5	OAPGCV017056_75	PC_281531	PC_281531	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__JABCPH02
OAPGCV017056	OAPGCV003289_34	OAPGCV017056_76	PC_46976	PC_46976	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia
